835	3072	609	935	1665	499	764	1323	1741	1188	1870	1030	1482	892	1306	593	2376	542	809	2475	1514	1977	672	1235	933	1114	-9	2702	1736	3553	3255	4249	1871	3236	1125	4647	3808	3594
393	118	667	410	119	147	735	248	258	409	306	15	87	188	99	67	-226	102	432	359	149	160	366	770	267	59	-187	822	1137	1050	1157	1083	1099	652	262	618	805	673
303	1358	254	-304	-86	1168	-233	-247	336	498	-376	107	-97	820	76	36	375	22	-180	205	-124	-102	425	-205	-229	66	34	1073	6962	14555	7238	12339	3654	1537	1481	17863	13296	1661
1298	1379	1496	1401	1894	528	1747	1514	803	1939	587	1347	1489	1784	2286	944	1888	2111	1983	2731	1962	1739	585	1571	1395	1437	990	7113	3717	11618	1262	3088	5749	4719	1106	5868	6903	7061
543	2972	485	740	2453	375	961	404	783	1288	733	2095	1405	742	1718	623	1016	1198	1010	1969	1377	791	596	868	635	827	190	6718	1766	4915	2056	4136	4126	3127	853	6159	5503	2083
333	5345	301	241	93	215	159	455	445	522	1278	3684	116	94	29	38	282	136	-53	119	118	206	146	185	9270	183	150	15202	3104	6506	2096	12715	21147	8054	216	17022	19361	10043
-283	-65	-395	-367	290	-40	-366	-656	-231	-36	-152	41	-104	-140	-198	-102	-158	-76	-108	-58	-151	-243	-275	-263	-203	-53	-398	-21	6569	7372	4833	141	2000	4830	-312	4573	6759	1569
261	101	309	288	395	58	84	251	155	167	140	287	152	145	81	202	286	141	155	180	139	124	108	102	203	128	84	316	555	1130	1338	774	443	1450	781	970	408	275
177	3460	416	392	7972	597	403	140	848	1094	1343	5252	2408	2525	2133	1232	1150	1232	1519	180	1912	354	178	1687	3711	1750	291	7858	8859	11003	5849	3259	8855	8518	3628	10603	8479	1285
600	337	574	716	524	270	463	689	262	167	174	258	201	180	625	330	784	314	146	636	371	180	780	655	402	190	273	733	1296	647	1085	1467	1513	1807	1038	1051	1064	2538
365	624	108	873	686	302	325	244	273	144	34	399	281	589	854	289	534	540	44	616	447	239	9	515	50	268	483	679	1305	2694	1028	2680	3223	1674	735	2727	2399	784
654	1283	1286	915	732	691	853	1238	822	885	680	412	548	1157	387	707	1822	738	907	860	92	686	803	803	842	514	561	1929	1647	2112	1555	1514	2693	1811	1406	1707	2072	1753
298	307	309	693	713	247	52	-215	-223	492	-25	408	724	360	938	848	926	390	615	827	68	122	-108	222	700	433	-674	2224	3348	6218	1548	3297	3482	2947	1050	4863	2612	1671
1124	1062	1398	942	928	842	1066	1668	966	1175	626	747	706	864	515	825	1837	883	1309	817	383	825	731	899	1171	805	1286	1641	2545	3818	2943	2535	1373	2402	2137	3965	2539	2286
