1477	2758	721	779	2338	2363	1681	2047	2305	1995	1787	3739	2721	2213	658	643	2362	1955	1399	1667	676	502	291	530	517	463	126	655	429	535	996	1157	383	512
1484	606	1751	1052	2428	1467	1479	2148	1955	1275	980	821	1297	1087	929	3923	1794	1277	828	1361	197	110	139	388	282	196	268	461	446	328	253	450	375	528
786	994	233	510	598	861	615	853	773	382	443	421	1359	739	519	1226	765	344	1164	894	135	48	294	109	352	21	151	336	288	282	5	195	220	230
757	1	291	107	460	353	302	509	892	150	166	224	319	393	-68	425	453	615	404	838	-38	-44	17	-59	-10	-56	-15	-52	-80	69	-71	-233	13	10
2006	1803	3110	1924	10157	7721	3883	4059	3939	6955	3498	1465	3635	8205	149	7873	6504	3302	310	2047	-45	46	14	3	141	55	86	49	67	6	192	208	-84	215
12968	1813	4750	2559	5632	9288	3627	3115	11999	4200	3403	1642	4941	2282	707	6101	4634	4896	4317	6517	-160	382	460	686	155	174	698	314	325	1742	351	1070	301	623
3633	522	5358	1338	8921	4174	6400	3598	5600	7477	6841	3375	2417	7867	2474	6203	9155	1814	1608	2420	1451	583	1342	1062	626	851	751	528	754	1957	1152	227	456	836
2112	1323	826	613	1475	1353	1033	937	1691	479	438	751	1127	846	1661	1088	1187	1002	1504	1926	190	382	250	367	578	398	151	486	485	625	745	878	588	669
3005	2881	5451	3250	6031	8630	11962	4283	4247	6024	5586	4608	7622	5452	4061	11146	10196	6205	3753	6570	3281	1844	3379	4125	4525	1012	-40	1237	3946	3959	2686	761	227	1221
11027	3004	10820	6392	7528	3665	6092	7117	9766	11375	6753	3869	4568	4743	5736	9475	11724	2854	10066	11334	5420	2799	4780	4158	2023	2030	3214	1839	1094	5708	5216	1927	3220	1525
4646	2141	3090	3198	10565	5279	3686	3619	5420	3770	3972	2833	648	4913	1438	6609	6622	2962	1076	3102	1683	764	1439	666	1629	469	420	1151	1012	720	1453	986	614	2284
13407	1073	5681	1458	6074	2735	7243	6607	3394	3995	4685	1185	10410	4585	482	4287	5499	11269	4346	10455	544	-362	18	372	235	312	1190	328	153	5131	651	1019	-113	1947
1815	1585	1237	1758	3172	2229	1192	1100	2947	2072	1878	781	862	2432	509	2009	2049	770	911	767	371	128	1048	323	653	381	1149	618	266	847	1133	487	540	452
2290	503	1400	1214	1457	1539	1332	2333	2583	1665	1452	848	1696	1492	709	1338	1711	1175	1941	2702	541	724	355	738	1268	385	782	723	1580	861	894	853	468	484
4057	1585	3600	2425	7275	2787	3367	2271	5083	2621	2388	2626	3229	2620	7408	4787	5499	1768	2097	5088	815	522	649	4118	690	397	1696	870	2704	1621	1427	680	1478	819
475	251	362	493	951	356	616	329	710	467	475	439	190	592	200	580	573	348	218	493	70	64	248	158	575	21	173	137	201	94	74	51	198	226
171	-95	45	-58	13	75	284	132	203	487	352	-82	262	101	-204	373	208	-1	142	77	-191	-189	-35	-232	-185	-96	-71	44	-19	-180	-198	-360	-84	-115
