Original row	Golub	Expected score (dExp)	 Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change(Unlogged)	ALL1	ALL2	ALL3	ALL4	ALL5	ALL6	ALL7	ALL8	ALL9	ALL10	ALL11	ALL12	ALL13	ALL14	ALL15	ALL16	ALL17	ALL18	ALL19	ALL20	ALL21	ALL22	ALL23	ALL24	ALL25	ALL26	ALL27	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11
3605	Gene3605	-0.019223657	5.2601156	726.17847	138.05371	NaN	555.0	1063.0	921.0	348.0	589.0	277.0	509.0	490.0	553.0	609.0	600.0	273.0	576.0	1016.0	548.0	451.0	1238.0	1043.0	345.0	718.0	357.0	568.0	281.0	668.0	510.0	402.0	832.0	1372.0	733.0	2184.0	783.0	2100.0	1571.0	1255.0	880.0	1863.0	1260.0	644.0
461	Gene461	-1.2920986	5.260877	168.53873	32.03624	Infinity	75.0	129.0	44.0	218.0	110.0	33.0	115.0	32.0	9.0	54.0	38.0	7.0	103.0	72.0	158.0	28.0	117.0	99.0	101.0	22.0	48.0	74.0	43.0	168.0	9.0	117.0	12.0	297.0	190.0	326.0	197.0	259.0	100.0	355.0	295.0	283.0	311.0	70.0
1394	Gene1394	-0.75972265	5.327319	6159.313	1156.1749	NaN	2654.0	6765.0	3387.0	1646.0	2189.0	2951.0	1885.0	2193.0	5145.0	2334.0	3947.0	4207.0	3709.0	2466.0	4968.0	2102.0	3974.0	1891.0	1712.0	5593.0	3173.0	8670.0	2505.0	1876.0	5221.0	4124.0	1128.0	13057.0	8213.0	12449.0	3250.0	6749.0	14471.0	2537.0	1226.0	13963.0	13317.0	16171.0
4052	Gene4052	0.11913973	5.3773246	2904.8452	540.2027	NaN	1057.0	1395.0	823.0	1655.0	2000.0	537.0	6133.0	775.0	633.0	463.0	628.0	294.0	1220.0	662.0	1990.0	1143.0	2474.0	220.0	1271.0	4004.0	1781.0	350.0	431.0	3970.0	747.0	773.0	115.0	3077.0	6000.0	5065.0	7260.0	2027.0	3072.0	5878.0	2140.0	5162.0	2887.0	4681.0
1829	Gene1829	-0.5910764	5.392615	1440.946	267.2073	NaN	330.0	811.0	212.0	584.0	1018.0	206.0	655.0	-187.0	1176.0	100.0	164.0	446.0	196.0	1216.0	664.0	295.0	1080.0	327.0	228.0	1475.0	449.0	130.0	131.0	534.0	271.0	305.0	251.0	866.0	1092.0	4079.0	2179.0	1571.0	702.0	2501.0	1885.0	3927.0	1916.0	456.0
6376	Gene6376	1.0826998	5.4014354	994.2997	184.08064	Infinity	-70.0	364.0	-208.0	34.0	218.0	401.0	255.0	-100.0	521.0	-169.0	-276.0	252.0	4.0	493.0	114.0	-91.0	78.0	-163.0	-196.0	-345.0	82.0	-175.0	121.0	-183.0	-49.0	-65.0	-239.0	1179.0	868.0	1537.0	1675.0	657.0	562.0	1338.0	565.0	2892.0	157.0	-245.0
6797	Gene6797	1.4676824	5.479579	5429.798	990.91516	NaN	921.0	4101.0	2799.0	1166.0	3250.0	3126.0	1053.0	1751.0	2343.0	1502.0	964.0	2599.0	123.0	3264.0	434.0	975.0	1133.0	1261.0	758.0	1057.0	448.0	993.0	1782.0	39.0	160.0	446.0	2406.0	2165.0	3475.0	7039.0	5146.0	7380.0	13397.0	4300.0	2397.0	15351.0	13348.0	2374.0
6806	Gene6806	1.4796062	5.5294185	5510.623	996.6008	NaN	557.0	2716.0	1716.0	1143.0	2917.0	3300.0	830.0	1683.0	1965.0	1781.0	833.0	4009.0	93.0	3576.0	637.0	635.0	817.0	1631.0	846.0	883.0	560.0	886.0	1525.0	108.0	512.0	441.0	1976.0	1953.0	4063.0	6612.0	7821.0	5778.0	13076.0	4192.0	2327.0	15761.0	13087.0	1663.0
6373	Gene6373	1.0806371	5.6507483	891.4512	157.75807	NaN	695.0	812.0	810.0	599.0	282.0	711.0	556.0	1281.0	746.0	513.0	461.0	494.0	315.0	1030.0	333.0	426.0	588.0	666.0	250.0	284.0	137.0	401.0	613.0	513.0	439.0	416.0	430.0	1147.0	478.0	2279.0	754.0	978.0	1690.0	1702.0	1137.0	2014.0	2683.0	974.0
6539	Gene6539	1.2066164	5.666967	1460.6902	257.7552	NaN	162.0	169.0	-18.0	199.0	334.0	117.0	378.0	571.0	-8.0	176.0	139.0	530.0	182.0	452.0	304.0	540.0	1263.0	203.0	1074.0	1071.0	675.0	177.0	417.0	300.0	559.0	342.0	7.0	2274.0	2195.0	478.0	983.0	1017.0	1999.0	727.0	1639.0	1096.0	3397.0	4465.0
2186	Gene2186	-0.4664964	5.684624	7711.876	1356.6202	NaN	1489.0	6084.0	2281.0	2178.0	1094.0	1513.0	2866.0	2129.0	3862.0	1974.0	2561.0	7901.0	3602.0	1204.0	2859.0	1259.0	2689.0	2753.0	815.0	2233.0	5193.0	1026.0	740.0	2785.0	14011.0	2381.0	569.0	13895.0	1908.0	11990.0	9866.0	10899.0	14090.0	13338.0	2306.0	21135.0	12115.0	5902.0
2242	Gene2242	-0.4477894	5.6891456	394.8956	69.41211	Infinity	-88.0	109.0	-53.0	-111.0	139.0	46.0	-77.0	-214.0	94.0	45.0	40.0	267.0	70.0	136.0	135.0	18.0	184.0	10.0	-38.0	17.0	34.0	-23.0	30.0	209.0	13.0	19.0	-100.0	373.0	550.0	425.0	82.0	619.0	864.0	59.0	72.0	692.0	672.0	307.0
2402	Gene2402	-0.39502844	5.7057657	6546.4346	1147.3367	NaN	782.0	368.0	1268.0	882.0	949.0	910.0	826.0	1302.0	1337.0	82.0	737.0	1296.0	160.0	838.0	520.0	478.0	7.0	-144.0	45.0	-862.0	343.0	678.0	1177.0	734.0	502.0	29.0	176.0	548.0	19615.0	9994.0	7791.0	976.0	4108.0	13464.0	1233.0	7955.0	9933.0	2676.0
6803	Gene6803	1.475361	5.7195377	5600.6025	979.20544	NaN	382.0	3606.0	2997.0	1331.0	3069.0	2850.0	1201.0	1947.0	2629.0	2148.0	969.0	3939.0	210.0	3633.0	735.0	637.0	973.0	1263.0	694.0	888.0	447.0	527.0	1820.0	71.0	515.0	304.0	2331.0	2475.0	3605.0	6268.0	7035.0	7969.0	13195.0	4259.0	2517.0	15519.0	13221.0	2702.0
1674	Gene1674	-0.6486054	5.7254095	8952.721	1563.6821	NaN	5418.0	17348.0	6156.0	7070.0	9017.0	6221.0	4746.0	7881.0	9431.0	5092.0	6027.0	15280.0	6183.0	13077.0	8506.0	3720.0	12676.0	9783.0	4453.0	13988.0	2900.0	6074.0	3729.0	6023.0	13278.0	4718.0	4110.0	16705.0	11012.0	18372.0	12276.0	19173.0	21498.0	12406.0	7855.0	24521.0	21277.0	20124.0
2043	Gene2043	-0.5158366	5.7320447	3497.5117	610.1683	NaN	-115.0	2171.0	-26.0	22.0	244.0	108.0	-45.0	674.0	103.0	252.0	9.0	988.0	-42.0	389.0	-46.0	-48.0	-83.0	944.0	343.0	950.0	64.0	88.0	-85.0	-96.0	560.0	43.0	-269.0	159.0	5824.0	7142.0	499.0	1853.0	6704.0	394.0	72.0	5940.0	6247.0	6530.0
2121	Gene2121	-0.48892748	5.9851303	3820.1045	638.26587	NaN	1410.0	2325.0	2789.0	1132.0	1269.0	1854.0	2735.0	1962.0	2900.0	1855.0	1471.0	1763.0	786.0	2337.0	2035.0	1910.0	4215.0	711.0	1346.0	2273.0	545.0	949.0	1297.0	1343.0	1371.0	1330.0	2127.0	4214.0	2558.0	8793.0	4630.0	7373.0	2771.0	5587.0	3909.0	12358.0	7125.0	2275.0
6200	Gene6200	0.9705132	5.988019	5943.761	992.60895	NaN	292.0	2062.0	-25.0	-2.0	138.0	23.0	107.0	-19.0	104.0	-35.0	189.0	1855.0	3.0	9.0	91.0	73.0	17.0	41.0	16.0	242.0	184.0	155.0	148.0	-146.0	4271.0	29.0	-233.0	10476.0	1653.0	2971.0	688.0	7108.0	13176.0	3693.0	-45.0	11517.0	12979.0	5072.0
2111	Gene2111	-0.49246293	6.047543	1831.9528	302.92514	NaN	835.0	3072.0	609.0	935.0	1665.0	499.0	764.0	1323.0	1741.0	1188.0	1870.0	1030.0	1482.0	892.0	1306.0	593.0	2376.0	542.0	809.0	2475.0	1514.0	1977.0	672.0	1235.0	933.0	1114.0	-9.0	2702.0	1736.0	3553.0	3255.0	4249.0	1871.0	3236.0	1125.0	4647.0	3808.0	3594.0
3847	Gene3847	0.055029146	6.2038503	609.35693	98.22238	Infinity	393.0	118.0	667.0	410.0	119.0	147.0	735.0	248.0	258.0	409.0	306.0	15.0	87.0	188.0	99.0	67.0	-226.0	102.0	432.0	359.0	149.0	160.0	366.0	770.0	267.0	59.0	-187.0	822.0	1137.0	1050.0	1157.0	1083.0	1099.0	652.0	262.0	618.0	805.0	673.0
1882	Gene1882	-0.57208765	6.2119374	7279.101	1171.7924	NaN	303.0	1358.0	254.0	-304.0	-86.0	1168.0	-233.0	-247.0	336.0	498.0	-376.0	107.0	-97.0	820.0	76.0	36.0	375.0	22.0	-180.0	205.0	-124.0	-102.0	425.0	-205.0	-229.0	66.0	34.0	1073.0	6962.0	14555.0	7238.0	12339.0	3654.0	1537.0	1481.0	17863.0	13296.0	1661.0
3258	Gene3258	-0.12649512	6.30496	3779.1248	599.3892	NaN	1298.0	1379.0	1496.0	1401.0	1894.0	528.0	1747.0	1514.0	803.0	1939.0	587.0	1347.0	1489.0	1784.0	2286.0	944.0	1888.0	2111.0	1983.0	2731.0	1962.0	1739.0	585.0	1571.0	1395.0	1437.0	990.0	7113.0	3717.0	11618.0	1262.0	3088.0	5749.0	4719.0	1106.0	5868.0	6903.0	7061.0
1249	Gene1249	-0.82209647	6.3325396	2700.899	426.51117	NaN	543.0	2972.0	485.0	740.0	2453.0	375.0	961.0	404.0	783.0	1288.0	733.0	2095.0	1405.0	742.0	1718.0	623.0	1016.0	1198.0	1010.0	1969.0	1377.0	791.0	596.0	868.0	635.0	827.0	190.0	6718.0	1766.0	4915.0	2056.0	4136.0	4126.0	3127.0	853.0	6159.0	5503.0	2083.0
6201	Gene6201	0.9710363	6.4147034	9604.687	1497.2924	NaN	333.0	5345.0	301.0	241.0	93.0	215.0	159.0	455.0	445.0	522.0	1278.0	3684.0	116.0	94.0	29.0	38.0	282.0	136.0	-53.0	119.0	118.0	206.0	146.0	185.0	9270.0	183.0	150.0	15202.0	3104.0	6506.0	2096.0	12715.0	21147.0	8054.0	216.0	17022.0	19361.0	10043.0
2288	Gene2288	-0.43249968	6.5764155	3660.4075	556.5961	Infinity	-283.0	-65.0	-395.0	-367.0	290.0	-40.0	-366.0	-656.0	-231.0	-36.0	-152.0	41.0	-104.0	-140.0	-198.0	-102.0	-158.0	-76.0	-108.0	-58.0	-151.0	-243.0	-275.0	-263.0	-203.0	-53.0	-398.0	-21.0	6569.0	7372.0	4833.0	141.0	2000.0	4830.0	-312.0	4573.0	6759.0	1569.0
1834	Gene1834	-0.5890911	6.6202154	592.23566	89.45867	Infinity	261.0	101.0	309.0	288.0	395.0	58.0	84.0	251.0	155.0	167.0	140.0	287.0	152.0	145.0	81.0	202.0	286.0	141.0	155.0	180.0	139.0	124.0	108.0	102.0	203.0	128.0	84.0	316.0	555.0	1130.0	1338.0	774.0	443.0	1450.0	781.0	970.0	408.0	275.0
4196	Gene4196	0.16486394	6.726705	5465.912	812.56903	NaN	177.0	3460.0	416.0	392.0	7972.0	597.0	403.0	140.0	848.0	1094.0	1343.0	5252.0	2408.0	2525.0	2133.0	1232.0	1150.0	1232.0	1519.0	180.0	1912.0	354.0	178.0	1687.0	3711.0	1750.0	291.0	7858.0	8859.0	11003.0	5849.0	3259.0	8855.0	8518.0	3628.0	10603.0	8479.0	1285.0
5039	Gene5039	0.44974646	6.9379206	883.3064	127.31573	Infinity	600.0	337.0	574.0	716.0	524.0	270.0	463.0	689.0	262.0	167.0	174.0	258.0	201.0	180.0	625.0	330.0	784.0	314.0	146.0	636.0	371.0	180.0	780.0	655.0	402.0	190.0	273.0	733.0	1296.0	647.0	1085.0	1467.0	1513.0	1807.0	1038.0	1051.0	1064.0	2538.0
1745	Gene1745	-0.6217674	7.113249	1436.266	201.9142	Infinity	365.0	624.0	108.0	873.0	686.0	302.0	325.0	244.0	273.0	144.0	34.0	399.0	281.0	589.0	854.0	289.0	534.0	540.0	44.0	616.0	447.0	239.0	9.0	515.0	50.0	268.0	483.0	679.0	1305.0	2694.0	1028.0	2680.0	3223.0	1674.0	735.0	2727.0	2399.0	784.0
2020	Gene2020	-0.52377456	7.824384	1025.9763	131.1255	NaN	654.0	1283.0	1286.0	915.0	732.0	691.0	853.0	1238.0	822.0	885.0	680.0	412.0	548.0	1157.0	387.0	707.0	1822.0	738.0	907.0	860.0	92.0	686.0	803.0	803.0	842.0	514.0	561.0	1929.0	1647.0	2112.0	1555.0	1514.0	2693.0	1811.0	1406.0	1707.0	2072.0	1753.0
4847	Gene4847	0.38119978	8.454445	2673.7476	316.25348	Infinity	298.0	307.0	309.0	693.0	713.0	247.0	52.0	-215.0	-223.0	492.0	-25.0	408.0	724.0	360.0	938.0	848.0	926.0	390.0	615.0	827.0	68.0	122.0	-108.0	222.0	700.0	433.0	-674.0	2224.0	3348.0	6218.0	1548.0	3297.0	3482.0	2947.0	1050.0	4863.0	2612.0	1671.0
3320	Gene3320	-0.107183695	8.496385	1584.404	186.4798	NaN	1124.0	1062.0	1398.0	942.0	928.0	842.0	1066.0	1668.0	966.0	1175.0	626.0	747.0	706.0	864.0	515.0	825.0	1837.0	883.0	1309.0	817.0	383.0	825.0	731.0	899.0	1171.0	805.0	1286.0	1641.0	2545.0	3818.0	2943.0	2535.0	1373.0	2402.0	2137.0	3965.0	2539.0	2286.0
